confuctivity	time	label_number	width	height	number of pixels	mean_intensity	w_h_ratio
1.0	133	1	63	7	2332	64802	0.1111111111111111
1.0	133	7	64	182	2227	55704	2.84375
1.0	134	3	112	221	4594	129664	1.9732142857142858
1.0	134	6	40	171	2076	47919	4.275
1.0	135	2	52	195	1785	29323	3.75
1.0	135	5	91	189	3920	91501	2.076923076923077
1.0	135	15	33	1	1988	28088	0.030303030303030304
1.0	136	2	108	2	7866	285813	0.018518518518518517
1.0	136	4	88	1	2897	62385	0.011363636363636364
1.0	136	7	2	7	1470	24326	3.5
1.0	137	2	125	224	6818	190579	1.792
1.0	138	1	26	1	1525	21920	0.038461538461538464
1.0	142	1	62	2	3270	65008	0.03225806451612903
6.0	155	1	2	5	1412	18805	2.5
6.0	155	4	15	2	377	3848	0.13333333333333333
6.0	158	1	33	4	886	8876	0.12121212121212122
6.0	159	2	2	5	2510	37625	2.5
6.0	159	7	2	9	2246	26796	4.5
6.0	159	8	19	2	378	4201	0.10526315789473684
6.0	159	10	26	2	470	5108	0.07692307692307693
6.0	160	1	34	2	861	9385	0.058823529411764705
6.0	161	1	9	5	378	3196	0.5555555555555556
6.0	161	5	2	2	290	2837	1.0
6.0	161	16	24	1	873	10673	0.041666666666666664
6.0	162	1	14	4	304	3242	0.2857142857142857
6.0	162	2	54	149	2630	35136	2.759259259259259
6.0	162	5	21	1	393	4043	0.047619047619047616
6.0	162	17	1	1	587	7074	1.0
6.0	162	26	4	2	417	5289	0.5
6.0	162	56	18	5	220	2406	0.2777777777777778
6.0	163	1	21	1	1157	11566	0.047619047619047616
6.0	163	3	35	1	858	8603	0.02857142857142857
6.0	163	93	14	1	263	2402	0.07142857142857142
6.0	164	1	1	1	487	5904	1.0
6.0	164	2	40	3	2188	27562	0.075
6.0	164	4	3	3	260	2954	1.0
6.0	164	13	1	3	509	5743	3.0
6.0	164	17	11	5	210	2244	0.45454545454545453
6.0	165	1	78	221	4436	73965	2.8333333333333335
6.0	165	47	4	4	1023	13173	1.0
6.0	165	58	4	4	489	5264	1.0
6.0	165	143	16	3	257	3190	0.1875
6.0	166	1	30	3	358	4702	0.1
6.0	166	3	65	1	6589	160558	0.015384615384615385
6.0	166	9	23	2	256	3200	0.08695652173913043
6.0	166	33	44	3	3437	75943	0.06818181818181818
6.0	166	38	34	2	1069	18009	0.058823529411764705
6.0	167	1	9	5	457	4570	0.5555555555555556
6.0	167	2	1	1	993	10576	1.0
6.0	167	39	19	3	271	2567	0.15789473684210525
6.0	169	4	33	3	1220	17167	0.09090909090909091
6.0	170	2	4	3	489	5288	0.75
6.0	170	4	27	1	789	7953	0.037037037037037035
6.0	170	12	4	4	363	3782	1.0
6.0	171	1	5	1	217	2367	0.2
6.0	171	2	26	1	749	7711	0.038461538461538464
6.0	171	34	15	3	371	4864	0.2
6.0	172	1	24	3	428	5252	0.125
6.0	172	2	3	4	360	4124	1.3333333333333333
6.0	172	8	14	3	243	2432	0.21428571428571427
6.0	173	1	6	4	298	3014	0.6666666666666666
6.0	174	2	15	33	233	2223	2.2
6.0	174	4	17	3	327	3362	0.17647058823529413
6.0	197	1	85	122	3166	53207	1.4352941176470588
6.0	197	4	1	100	1184	22944	100.0
6.0	197	5	37	89	813	13331	2.4054054054054053
6.0	198	1	2	2	1247	26563	1.0
6.0	198	2	27	129	1401	29316	4.777777777777778
6.0	198	4	25	2	782	13820	0.08
6.0	198	5	79	141	2341	56899	1.7848101265822784
6.0	198	6	1	3	1440	32267	3.0
6.0	198	12	1	3	1161	25465	3.0
6.0	198	18	10	3	215	3352	0.3
6.0	198	21	4	3	904	19225	0.75
6.0	199	1	1	6	2954	62286	6.0
6.0	199	3	46	4	2185	44113	0.08695652173913043
6.0	199	9	17	3	679	8413	0.17647058823529413
6.0	200	1	1	6	1215	17283	6.0
6.0	200	16	9	3	220	2413	0.3333333333333333
6.0	202	1	31	2	1284	18975	0.06451612903225806
6.0	202	3	55	4	1659	33226	0.07272727272727272
6.0	202	10	35	3	904	10358	0.08571428571428572
6.0	203	1	31	1	1702	23481	0.03225806451612903
6.0	203	2	2	2	882	9736	1.0
6.0	204	1	1	3	450	4015	3.0
6.0	204	5	71	193	3222	80228	2.7183098591549295
6.0	205	2	54	7	1102	12553	0.12962962962962962
6.0	205	6	53	117	1726	23089	2.207547169811321
6.0	205	11	28	122	992	15500	4.357142857142857
6.0	206	2	111	213	4347	116366	1.9189189189189189
6.0	206	3	3	6	452	5830	2.0
6.0	206	4	79	3	4320	134400	0.0379746835443038
6.0	206	13	23	2	725	10529	0.08695652173913043
6.0	207	2	100	3	7480	245466	0.03
6.0	207	16	37	1	1654	26026	0.02702702702702703
6.0	207	29	25	68	373	5027	2.72
6.0	208	1	59	2	3440	86405	0.03389830508474576
6.0	208	2	4	4	587	5555	1.0
6.0	211	2	47	3	2428	30408	0.06382978723404255
6.0	211	7	11	2	264	2574	0.18181818181818182
166.0	226	1	32	3	456	3957	0.09375
166.0	227	1	17	3	254	1332	0.17647058823529413
166.0	227	2	2	2	2303	17457	1.0
166.0	227	6	56	109	2264	17511	1.9464285714285714
166.0	227	22	31	2	890	5272	0.06451612903225806
166.0	227	24	24	47	491	2903	1.9583333333333333
